2/11/2019 10:34,bm93100,,0,0,0,Compare with #djia #SP500 #NASDAQ historical performance update: http://beat-the-dow.com pic.twitter.com/O4gY3HRPFX,,,#djia #SP500 #NASDAQ,1.09e+18,https://twitter.com/bm93100/status/1094907599604961280,Neutral
9/13/2019 5:26,JPierceA,,0,0,0,. @JimCramer's favorite #Market indicator signals #Stocks are 'way overbought' :::: #InterestRates #Trade #Tariffs #DowJones #Nasdaq #Investors #Investing #Investments #401K #RothIRA #IRA #Bonds #CDs #StockMarket #StockMarketNewshttps://www.cnbc.com/2019/09/12/cramers-favorite-market-indicator-signals-stocks-are-way-overbought.html …,,@JimCramer,#Market #Stocks #InterestRates #Trade #Tariffs #DowJones #Nasdaq #Investors #Investing #Investments #401K #RothIRA #IRA #Bonds #CDs #StockMarket #StockMarketNewshttps,1.17e+18,https://twitter.com/JPierceA/status/1172380926162001923,Neutral
1/27/2019 23:02,Trading_365,,0,0,0,#DowJones S&P UAE Domestic Shariah Liquid 35/20 Capped Index Consultation http://bit.ly/1laIqYP #SP500 #WallStreet,,,#DowJones #SP500 #WallStreet,1.09e+18,https://twitter.com/Trading_365/status/1089659845572202497,Neutral
5/7/2019 16:11,GTCost,,0,0,0,"""DOW above 26,000. Did not happen under Obama"" tweet storm from @realDonaldTrump is up in 3… 2… 1... | #DJI #DowJones #Markets",,@realDonaldTrump,#DJI #DowJones #Markets,1.13e+18,https://twitter.com/GTCost/status/1125795310444236801,Positive
5/29/2019 21:05,CopyDan,,0,0,0,"Congratulations to @realDonaldTrump on the stock market hitting 25k today, in multiple directions. #DowJones",,@realDonaldTrump,#DowJones,1.13e+18,https://twitter.com/CopyDan/status/1133841936761204739,Null
11/24/2018 5:50,RafKadian,,0,1,2,AAPL172$all in Red Negative from 215...210$#dowjones #Forex #Markets #Finance #cfd #CFD #Apple #aapl #Investing #stocks #trading advisory Via ADSS Trading Support Team 24 Hrs. #TradingYourWay #Cryptocurrencies @ADSSGROUP #OREX #FXTRADING #fxsignals #fxpic.twitter.com/LAPB39NvDG,,@ADSSGROUP,#dowjones #Forex #Markets #Finance #cfd #CFD #Apple #aapl #Investing #stocks #trading #TradingYourWay #Cryptocurrencies #OREX #FXTRADING #fxsignals #fxpic,1.07e+18,https://twitter.com/RafKadian/status/1066207478050889728,Negative
7/1/2019 13:12,WolfBearPig1,WolfBearPig1,0,1,0,Got'em #NATGAS #NG #NG_F #UNG #UGAZ #DGAZ #DJIA #NDX #SPX #OOTThttps://twitter.com/WolfBearPig1/status/1144661001587109889 …,,,#NATGAS #NG #NG_F #UNG #UGAZ #DGAZ #DJIA #NDX #SPX #OOTThttps,1.15e+18,https://twitter.com/WolfBearPig1/status/1145681480145936384,Neutral
5/13/2019 17:06,andredemers1,,0,0,1,$DJIA #DowJones down 700pts ...can you fix this minor glitch @realDonaldTrump #TariffsHurt #tariffman #StockMarket #stocks,,@realDonaldTrump,#DowJones #TariffsHurt #tariffman #StockMarket #stocks,1.13e+18,https://twitter.com/andredemers1/status/1127983468783243265,Negative
8/23/2019 13:19,Corsicasia,,0,0,0,#USDCNH comfortably above 7.1 after #China announces 10% retaliatory #Tariff on #US goods #audusd #nzdusd #usdjpy #gold #xauusd #dowjones #nasdaq #forexnews #TradeWarspic.twitter.com/oAmwAMIqmg,,,#USDCNH #China #Tariff #US #audusd #nzdusd #usdjpy #gold #xauusd #dowjones #nasdaq #forexnews #TradeWarspic,1.16e+18,https://twitter.com/Corsicasia/status/1164889968466178048,Positive
12/24/2018 17:24,ShortTermEnthus,,0,0,1,Buying opportunity! #DJIA #stocks #Fed #MAGA,,,#DJIA #stocks #Fed #MAGA,1.08e+18,https://twitter.com/ShortTermEnthus/status/1077253790078849024,Positive
